|normal|withouturl|no_clean|url_clean
567|Tune in at 3:30 p.m. ET to watch President Obama speak about the #SCOTUS nomination process at @UChicagoLaw : http:// ofa.bo/e5ps|Tune in at 3:30 p.m. ET to watch President Obama speak about the #SCOTUS nomination process at @UChicagoLaw : http://  |5.3660000000000005|5.3660000000000005
568|Read what a former @UChicagoLaw student learned from Professor Obama: http:// ofa.bo/uOL pic.twitter.com/9DrfKTYIAS|Read what a former @UChicagoLaw student learned from Professor Obama: http://    |5.54|5.54
569|Show your support for the proposal to expand paid sick leave add a comment today: http:// ofa.bo/hACx #LeadOnLeave|Show your support for the proposal to expand paid sick leave add a comment today: http://   #LeadOnLeave|5.4399999999999995|5.404615384615384
570|The U.S. is the only advanced nation that doesn't guarantee paid sick leave it's time to change that. #LeadOnLeave pic.twitter.com/LoUwswnXLg|The U.S. is the only advanced nation that doesn't guarantee paid sick leave it's time to change that. #LeadOnLeave  |5.275384615384615|5.198666666666667
571|The Senate has more than enough time to give Judge Garland a fair up-or-down vote. #DoYourJob pic.twitter.com/ybHNMwMWLm|The Senate has more than enough time to give Judge Garland a fair up-or-down vote. #DoYourJob  |5.675555555555556|5.675555555555556
572|Add your voice to the thousands calling on Senate leaders to give Judge Merrick Garland a fair hearing: http:// ofa.bo/hACu #DoYourJob|Add your voice to the thousands calling on Senate leaders to give Judge Merrick Garland a fair hearing: http://   #DoYourJob|5.696666666666666|5.696666666666666
573|If we don't #ActOnClimate now, the sea level could rise by more than six feet by the end of the century: http:// ofa.bo/uOB|If we don't #ActOnClimate now, the sea level could rise by more than six feet by the end of the century: http://  |5.329411764705884|5.329411764705884
574|Clean energy currently employs 2.5 million people in the United States. Check it out: http:// ofa.bo/gA3q #ActOnClimate|Clean energy currently employs 2.5 million people in the United States. Check it out: http://   #ActOnClimate|5.942857142857142|5.942857142857142
575|Ten million workers in California and New York now have better economic security: http:// ofa.bo/iA5v #RaiseTheWage|Ten million workers in California and New York now have better economic security: http://   #RaiseTheWage|5.995|5.995
576|LIVE: President Obama is delivering a statement on the economy. http:// ofa.bo/z0Oh|LIVE: President Obama is delivering a statement on the economy. http://  |5.244|5.244
