Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1121846132911378433	@moimpex	2019-04-27 00:08:55	To gain your goal, I encourage every one to carry a placard in your strikes, showing a solution to climate change. The only available solution is a multi-mission electric electric vehicle / wind turbine / power storage' device. it charges its own battery and the grid as well. pic.twitter.com/Dp8PN4JGci	0	Tweet
1121836987122692097	@LucyFeliciano7	2019-04-26 23:32:35	It’s great to see that the younger generation is doing their part in the Global Climate Change. 👏👏👍🏽🌸🌊🌍🦋🌞🌴🐡🐞🦄🐝	0	Tweet
1121821050088587271	@1DrCath	2019-04-26 22:29:15	@ GretaThunberg Nominated for Nobel Peace Prize. "We have proposed Greta because if we do nothing to halt climate change it will be the cause of wars, conflict and refugees. Greta has launched a mass movement which I see as a major contribution to peace." https://bit.ly/2DzWMxZ	0	Tweet
1121747859559387136	@losaromos101	2019-04-26 17:38:25	You are 16 and you have the nerve to stand and lecture, before scientists, lawmakers, entrepreneurs and EVEN bankers who are doing much more than anyone to combat climate change? Egomaniacal pathology does start at an early age indeed.	0	Tweet
1121719847791071233	@DeightonSue	2019-04-26 15:47:06	Would suggest you go to China, India etc - you know places where is serious concerns about pollution. You could do lot of good there. Daddy would pay for your travel, he is loaded. But seems rather arrogant you lecturing UK with good track record of addressing climate change.	0	Tweet
1121682639105052674	@rogerahicks	2019-04-26 13:19:15	@ GretaThunberg We can't solve the problem anthropogenic climate change without solving the more fundamental problem of an inherently unsustainable economy, which we can't solve without understanding this: https://twitter.com/rogerahicks/status/1121681061442801666 …	0	Retweet
1121676945626787841	@lovelacegeezer	2019-04-26 12:56:38	@ GretaThunberg I am following because they future belongs to the youth of today, and we had better start listening to them and yourself climate change is happening and the ordinary people feel helpless werecycle but it’s not enough we need the brains of this world working on it	0	Tweet
1121671181285773312	@PersianHidaren	2019-04-26 12:33:43	many would disagree... but all harmful gases produced by humans is nothing in comparison w/ the amount nature itself produces Besides, the sun's radiations have changed and that's the real reason behind the climate change There r far more imp things in the world than # schoolstike	0	Tweet
1121670331591086080	@hawkinshouseo2	2019-04-26 12:30:21	I don't understand climate change any more than I understand the construction of a nuclear power station or the role of every protein in our bodies. But as much as I find the climate change theory persuasive I don't believe that combatting it is possible.	0	Tweet
1121660689817333760	@NikosWarrence	2019-04-26 11:52:02	You should challenge @ realDonaldTrump to a debate on climate change. And be Chairwoman for Global Commission on fighting global warming. You're incredibly strong, brilliant, and beautiful. You should become the Lucky Luciano, Boss of Bosses, for Earth-preservation.All Power 2 you pic.twitter.com/Wci6IGfEyS	1	Tweet
1121641037405966336	@St92017232	2019-04-26 10:33:57	@ GretaThunberg it's a suggestion from my side ....apart from insisting on the leaders to take climate change actions , it's also quite equally important to make the common people to understand what are the actions they should take to mitigate as they are equally responsible as	0	Tweet
1121536784280764416	@FightForNature	2019-04-26 03:39:41	@ GretaThunberg I just want to say a huge thank you for standing up and making everyone listen and take notice about what is happening due to climate change. You’re a hero and an inspiration to us all. Keep doing what you’re doing! We can change things if we work together! 😊💖	0	Tweet
1121534631222882305	@doctorguruji	2019-04-26 03:31:07	@ GretaThunberg accused the politicians of lying about climate change. Watching # bbcqt nothing seems to have changed. Poor showing by Fiona Bruce inappropriately interrupting @ CarolineLucas	0	Tweet
1121533537910501377	@fptolan	2019-04-26 03:26:47	@ GretaThunberg shifting the national conversation to climate change. Hero! 🙌🏻 # bbcqt	0	Tweet
1121532434787524608	@Welsys1974	2019-04-26 03:22:24	@ GretaThunberg Climate change is caused by the biggest populations such as China, Russia, USA, India sending refrigerant into the air. Tell smaller countries such as UK and the government sees that as a stealth tax.	0	Tweet
1121528647100166144	@amirah360	2019-04-26 03:07:21	@ GretaThunberg on climate change and Aspergers https://amp.theguardian.com/environment/2019/apr/23/greta-thunberg-full-speech-to-mps-you-did-not-act-in-time?__twitter_impression=true&fbclid=IwAR15MtjmRGrca_o-X6mYXmRqKcnfgyZTc27lcTPoWv1c5nVrc2yLKVFBL54 …	0	Tweet
1121528094492254208	@amirah360	2019-04-26 03:05:09	@ gretathunberg on climate change, how it’s black and white and having Aspergers. “This is a crisis.” https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate?fbclid=IwAR3J0LpFFT0TRFYowsptRbGn73Nb6DlaKmq7cg-f8_lQR6DdVtG38hna704 …	0	Tweet
1121513099033493504	@Drjrgarcia24	2019-04-26 02:05:34	Greta don’t despair! We will turn things around! There are a few bad apples out there but they will be out soon! America will lead the world again soon in climate change policies!!!	0	Tweet
1121508586843144205	@brigante_maria	2019-04-26 01:47:38	Good night Greta, I'm a woman, I'm a mother and your work is so important to me because one time I was a young girl like you and nobody did enough to stop the climate change, now my childs are suffering the consequences not only me. pic.twitter.com/wjz1bhbdq0	0	Tweet
1121505691158626304	@WckdStepMomster	2019-04-26 01:36:07	@ GretaThunberg doesn’t have to speak English perfectly or look differently or be “nicer.” Greta just has to tell the truth about climate change and be herself. The rest of us have to act!	0	Tweet
1121492746739552256	@AldoDesigns	2019-04-26 00:44:41	@ GretaThunberg keep pushing, UR fighting the good fight. We have the technology & means to be carbon neutral. Look up jack herer's book, the emperor wears no clothes. u will find the solution to our oil/plastic problem. Re-green the deserts with hemp & reverse climate change.	0	Tweet
1121473362814017536	@pologrinner	2019-04-25 23:27:40	@ GretaThunberg The Uncanny Power of Greta Thunberg’s Climate-Change Rhetoric https://www.newyorker.com/news/daily-comment/the-uncanny-power-of-greta-thunbergs-climate-change-rhetoric …	0	Tweet
1121469319685263360	@EloiseTTubridy	2019-04-25 23:11:36	@ GretaThunberg your passion is inspirational as are you! Climate change is incredibly scary, but if we ignore it any longer, it will do nothing but get worse! Listen to her phenomenal speech and be inspired to change # climatechange # TakeAction # BeInspiredhttps://www.youtube.com/watch?v=cJAcuQEVxTY …	0	Tweet
1121451989710397443	@HRenkenberger	2019-04-25 22:02:44	@ GretaThunberg isn't it a little like paradox? u want to stop climate change? that's great, but traveling all around the world isn't helpfull for that. i mean, i'm 37 years old, but i think your CO²-Footprint must be bigger than mine right now	0	Tweet
1121435749843382272	@Bobbyd72	2019-04-25 20:58:12	@ GretaThunberg Well done. You are an inspiration. You are doing a fantastic job for climate change policy and representing people with Asperger's.	0	Tweet
1121425835381207041	@molly_enselein	2019-04-25 20:18:48	@ GretaThunberg I was beginning to feel hopeless that these politicians would ever do anything about Climate Change. You made me realize that I was right. THESE pols won’t do anything, but our young, new and future leaders like you just might save us from ourselves! Thank you! 💜 https://twitter.com/GretaThunberg/status/1041369960436703232 …	0	Retweet
1121424395669348353	@JenniferDales	2019-04-25 20:13:05	@ GretaThunberg I have decided to stop eating red meat as of today. My family will be joining me, because I am the family cook! Because of your unwavering view of the truth of climate change I am inspired to change. Thank you.	0	Tweet
1121410260944805889	@SietseJan2	2019-04-25 19:16:55	Poor brainwashed girl. She is the symbol of swedens downfall. Climate change is an illusion. And if is true, there‘s nothing we can do against it.	0	Tweet
1121383838863720454	@BethanySalloway	2019-04-25 17:31:56	@ GretaThunberg's appearance on both the @ BBC documentary (Climate Change: The Facts) and at the climate protests in London is absolutely astonishing. Her and so many young people are speaking truth's that must be heard.	0	Tweet
1121382185527914496	@topboygonewrong	2019-04-25 17:25:21	And people will get rich from climate change. Stop being so naïve	0	Tweet
1121371112682639361	@emmmuche	2019-04-25 16:41:21	@ GretaThunberg French president @ EmmanuelMacron to make an address this evening. Let's see whether there will be ambitious measures to tackle climate change # PacteFinanceClimat # FridayForFuture	0	Tweet
1121358903076429826	@KalinTsenov	2019-04-25 15:52:50	So bad that they use children to promote the climate change scam. Only a 12 year old could actually believe this. And by the way, for sure an adult wrote that speech	0	Tweet
1121346454205947904	@mohnkuchenfan	2019-04-25 15:03:22	Thank you, Greta. You are such an inspiration. Everyone is talking about climate change again thanks to you. What an achievement.	1	Tweet
1121328789676544000	@slugelise	2019-04-25 13:53:11	@ GretaThunberg go girl! I've not seen so much climate change coverage in the UK for years. Don't stop and come back soon.	0	Tweet
1121310009739173893	@RuthWadsworth	2019-04-25 12:38:33	@ GretaThunberg I couldn't agree more - don't waste your words on those who are still debating whether climate change is real. There are plenty of us out there who are fully on board! https://twitter.com/RebeccaH2020/status/1121010279335235585 …	0	Retweet
1121306041076125698	@PerschkeMichael	2019-04-25 12:22:47	Dear Greta your courage and conviction is amazing ! Don t let anyone come in your way to try to stop you. Climate change is evident - those who don’t want to admit are those that want to benefit the most. # climatechange # ActOnClimate # SupportGreta	0	Tweet
1121293776733884416	@EarnestBadger	2019-04-25 11:34:03	@ GretaThunberg is a 16-year-old schoolgirl from Sweden who has inspired an international movement to fight climate change and has been nominated as a candidate to receive this year's Nobel Peace Prize, and it could be safely said that I from afar respect this young woman more..	0	Tweet
1121288222838087681	@Eddystone506	2019-04-25 11:11:59	@ GretaThunberg when you’re talking to skeptical political leaders and journalists, do you think they actually believe that climate change is positive in some way? I can’t understand why they don’t see that the risks are all to the downside.	0	Tweet
